8000 2000
510 3994 5
2913 5358 87
658 7380 44
270 7021 22
7188 7890 4
1379 6018 4
2489 6030 50
6165 7636 84
941 2398 68
3120 4225 98
486 5949 13
1751 2623 88
321 355 35
3649 7757 51
2495 5573 48
935 4329 66
2608 5709 47
94 6030 55
7437 7534 69
2770 3511 63
1466 4320 43
5058 5569 70
328 1332 84
3505 6116 88
6398 6530 88
4217 7738 48
2806 4319 17
2280 6147 91
3308 4503 68
3808 7928 7
1559 7995 66
4388 6011 78
3282 3729 65
1407 5526 95
112 1219 77
1186 6244 30
2652 6471 40
5311 7238 50
3666 3836 94
5045 5237 31
52 1069 69
6290 6661 59
2159 2909 84
1326 3079 21
3902 7981 12
385 2211 13
4607 5786 14
4882 6205 55
1208 1961 50
3312 6882 80
6115 7603 96
444 5087 10
227 3150 82
584 2037 80
3852 7579 36
7279 7403 22
4356 6431 1
3903 6318 95
1634 3653 48
4059 4955 4
1330 4238 85
2438 5192 65
6583 7727 26
3835 5763 46
3558 6254 99
4418 7952 28
799 5080 100
412 7922 11
1191 1902 74
4540 6235 77
4390 4663 21
5851 6532 29
1279 5475 29
170 2832 5
1823 7694 17
3427 5869 66
215 7677 99
2386 6216 37
3463 4510 21
4722 6258 68
925 1944 65
2093 2329 29
4438 4790 71
5181 5563 44
489 1848 20
6083 7099 29
526 3467 57
4000 6143 32
2083 3947 5
982 2670 86
2556 2746 84
1848 5067 62
2266 5052 67
1058 6414 4
2852 2891 56
2973 6362 24
2263 4366 57
2595 7540 81
6000 7659 95
1959 2857 75
39 3685 17
1374 5992 49
1588 5741 73
2146 3296 49
879 1044 81
2518 3260 26
956 5958 83
335 391 22
212 3548 20
4692 5857 55
1181 6296 88
3652 5483 52
258 4098 33
2138 3874 16
2351 4615 40
3097 3582 58
5374 6553 81
2323 6874 29
565 4862 47
1931 2240 91
634 3924 83
2312 2722 17
836 6166 11
2870 7206 32
2079 6285 17
3109 5248 7
604 3511 94
3063 6989 32
2085 5159 57
470 1198 31
3033 5094 32
2427 3145 93
941 3914 70
3800 7256 71
2677 4496 11
2544 6506 87
5301 7359 5
4618 5881 60
2594 5261 73
4311 7712 17
3276 3673 56
239 2389 24
5168 5631 64
6028 6147 84
2545 4232 46
4135 7745 35
3734 4017 37
5549 7800 20
890 2160 6
1347 2582 49
1622 2225 64
258 6510 82
569 6805 94
18 3044 15
2122 7322 91
2143 3155 8
721 2711 92
783 3376 54
2724 7167 97
2250 5082 9
1859 2871 76
6775 7523 6
1520 6980 26
4462 4678 65
5382 5466 64
1030 3828 70
278 7773 6
2341 7917 76
2863 5655 89
4617 6733 75
593 1534 20
5303 5754 99
768 3487 71
220 3906 83
379 898 24
2118 5521 51
6122 7527 44
607 2708 51
2483 4111 93
2971 4361 91
2226 5007 42
1374 6709 76
1195 1787 49
4207 4299 50
155 5459 76
1883 4949 25
2707 6929 90
981 6616 93
4384 7753 39
3046 6236 94
6669 7426 68
5336 5747 76
1685 5981 22
6810 7064 22
2030 4070 45
2469 3913 51
6118 7153 27
303 2729 26
2740 3157 40
